"","filename","n_alignments_ok","n_alignments_zeroes","n_alignments_na"
"317","article_0_2_1_0_1_416.RDa",4,0,0
"318","article_0_2_1_0_1_417.RDa",4,0,0
"319","article_0_2_1_0_1_418.RDa",4,0,0
"320","article_0_2_1_0_1_419.RDa",4,0,0
"321","article_0_2_2_0_0_420.RDa",4,0,0
"322","article_0_2_2_0_0_421.RDa",4,0,0
"323","article_0_2_2_0_0_422.RDa",4,0,0
"324","article_0_2_2_0_0_423.RDa",4,0,0
"325","article_0_2_2_0_0_424.RDa",4,0,0
"326","article_0_2_2_0_0_425.RDa",4,0,0
"327","article_0_2_2_0_0_426.RDa",4,0,0
"328","article_0_2_2_0_0_427.RDa",4,0,0
"329","article_0_2_2_0_0_428.RDa",4,0,0
"330","article_0_2_2_0_0_429.RDa",4,0,0
"331","article_0_2_2_0_0_430.RDa",4,0,0
"332","article_0_2_2_0_0_431.RDa",4,0,0
"333","article_0_2_2_0_0_432.RDa",4,0,0
"334","article_0_2_2_0_0_433.RDa",4,0,0
"335","article_0_2_2_0_0_434.RDa",4,0,0
"336","article_0_2_2_0_0_435.RDa",4,0,0
"337","article_0_2_2_0_0_436.RDa",4,0,0
"338","article_0_2_2_0_0_437.RDa",4,0,0
"339","article_0_2_2_0_0_438.RDa",4,0,0
"340","article_0_2_2_0_0_439.RDa",4,0,0
"341","article_0_2_2_0_1_440.RDa",4,0,0
"342","article_0_2_2_0_1_441.RDa",4,0,0
"343","article_0_2_2_0_1_442.RDa",4,0,0
"344","article_0_2_2_0_1_443.RDa",4,0,0
"345","article_0_2_2_0_1_444.RDa",4,0,0
"346","article_0_2_2_0_1_445.RDa",4,0,0
"347","article_0_2_2_0_1_446.RDa",4,0,0
"348","article_0_2_2_0_1_447.RDa",4,0,0
"349","article_0_2_2_0_1_448.RDa",4,0,0
"350","article_0_2_2_0_1_449.RDa",4,0,0
"351","article_0_2_2_0_1_450.RDa",4,0,0
"352","article_0_2_2_0_1_451.RDa",4,0,0
"353","article_0_2_2_0_1_452.RDa",4,0,0
"354","article_0_2_2_0_1_453.RDa",4,0,0
"355","article_0_2_2_0_1_454.RDa",4,0,0
"356","article_0_2_2_0_1_455.RDa",4,0,0
"357","article_0_2_2_0_1_456.RDa",4,0,0
"358","article_0_2_2_0_1_457.RDa",4,0,0
"359","article_0_2_2_0_1_458.RDa",4,0,0
"360","article_0_2_2_0_1_459.RDa",4,0,0
"361","article_0_3_0_0_0_460.RDa",0,4,0
"362","article_0_3_0_0_0_461.RDa",0,4,0
"363","article_0_3_0_0_0_462.RDa",0,4,0
"364","article_0_3_0_0_0_463.RDa",0,4,0
"365","article_0_3_0_0_0_464.RDa",0,4,0
"366","article_0_3_0_0_0_465.RDa",0,4,0
"367","article_0_3_0_0_0_466.RDa",0,4,0
"368","article_0_3_0_0_0_467.RDa",0,4,0
"369","article_0_3_0_0_0_468.RDa",0,4,0
"370","article_0_3_0_0_0_469.RDa",0,4,0
"371","article_0_3_0_0_0_470.RDa",0,4,0
"372","article_0_3_0_0_0_471.RDa",0,4,0
"373","article_0_3_0_0_0_472.RDa",0,4,0
"374","article_0_3_0_0_0_473.RDa",1,3,0
"375","article_0_3_0_0_0_474.RDa",0,4,0
"376","article_0_3_0_0_0_475.RDa",2,2,0
"377","article_0_3_0_0_0_476.RDa",1,3,0
"378","article_0_3_0_0_0_477.RDa",0,4,0
"379","article_0_3_0_0_0_478.RDa",3,1,0
"380","article_0_3_0_0_0_479.RDa",0,4,0
"381","article_0_3_0_0_1_480.RDa",4,0,0
"382","article_0_3_0_0_1_481.RDa",0,4,0
"383","article_0_3_0_0_1_482.RDa",4,0,0
"384","article_0_3_0_0_1_483.RDa",3,1,0
"385","article_0_3_0_0_1_484.RDa",0,4,0
"386","article_0_3_0_0_1_485.RDa",1,3,0
"387","article_0_3_0_0_1_486.RDa",1,3,0
"388","article_0_3_0_0_1_487.RDa",4,0,0
"389","article_0_3_0_0_1_488.RDa",0,4,0
"390","article_0_3_0_0_1_489.RDa",4,0,0
"391","article_0_3_0_0_1_490.RDa",1,3,0
"392","article_0_3_0_0_1_491.RDa",4,0,0
"393","article_0_3_0_0_1_492.RDa",4,0,0
"394","article_0_3_0_0_1_493.RDa",4,0,0
"395","article_0_3_0_0_1_494.RDa",4,0,0
"396","article_0_3_0_0_1_495.RDa",1,3,0
"397","article_0_3_0_0_1_496.RDa",2,2,0
"398","article_0_3_0_0_1_497.RDa",4,0,0
"399","article_0_3_0_0_1_498.RDa",4,0,0
"400","article_0_3_0_0_1_499.RDa",4,0,0
"401","article_0_3_1_0_0_500.RDa",3,1,0
"402","article_0_3_1_0_0_501.RDa",0,4,0
"403","article_0_3_1_0_0_502.RDa",3,1,0
"404","article_0_3_1_0_0_503.RDa",4,0,0
"405","article_0_3_1_0_0_504.RDa",2,2,0
"406","article_0_3_1_0_0_505.RDa",0,4,0
"407","article_0_3_1_0_0_506.RDa",0,4,0
"408","article_0_3_1_0_0_507.RDa",0,4,0
"409","article_0_3_1_0_0_508.RDa",2,2,0
"410","article_0_3_1_0_0_509.RDa",3,1,0
"411","article_0_3_1_0_0_510.RDa",1,3,0
"412","article_0_3_1_0_0_511.RDa",4,0,0
"413","article_0_3_1_0_0_512.RDa",0,4,0
"414","article_0_3_1_0_0_513.RDa",1,3,0
"415","article_0_3_1_0_0_514.RDa",0,4,0
"416","article_0_3_1_0_0_515.RDa",2,2,0
"417","article_0_3_1_0_0_516.RDa",2,2,0
"418","article_0_3_1_0_0_517.RDa",2,2,0
"419","article_0_3_1_0_0_518.RDa",4,0,0
"420","article_0_3_1_0_0_519.RDa",4,0,0
"421","article_0_3_1_0_1_520.RDa",3,1,0
"422","article_0_3_1_0_1_521.RDa",0,0,0
"423","article_0_3_1_0_1_522.RDa",4,0,0
"424","article_0_3_1_0_1_523.RDa",4,0,0
"425","article_0_3_1_0_1_524.RDa",4,0,0
"426","article_0_3_1_0_1_525.RDa",4,0,0
"427","article_0_3_1_0_1_526.RDa",4,0,0
"428","article_0_3_1_0_1_527.RDa",4,0,0
"429","article_0_3_1_0_1_528.RDa",4,0,0
"430","article_0_3_1_0_1_529.RDa",4,0,0
"431","article_0_3_1_0_1_530.RDa",4,0,0
"432","article_0_3_1_0_1_531.RDa",3,1,0
"433","article_0_3_1_0_1_532.RDa",4,0,0
"434","article_0_3_1_0_1_533.RDa",2,2,0
"435","article_0_3_1_0_1_534.RDa",4,0,0
"436","article_0_3_1_0_1_535.RDa",4,0,0
"437","article_0_3_1_0_1_536.RDa",3,1,0
"438","article_0_3_1_0_1_537.RDa",4,0,0
"439","article_0_3_1_0_1_538.RDa",4,0,0
"440","article_0_3_1_0_1_539.RDa",4,0,0
"441","article_0_3_2_0_0_540.RDa",2,2,0
"442","article_0_3_2_0_0_541.RDa",4,0,0
"443","article_0_3_2_0_0_542.RDa",4,0,0
"444","article_0_3_2_0_0_543.RDa",3,1,0
"445","article_0_3_2_0_0_544.RDa",4,0,0
"446","article_0_3_2_0_0_545.RDa",4,0,0
"447","article_0_3_2_0_0_546.RDa",0,4,0
"448","article_0_3_2_0_0_547.RDa",4,0,0
"449","article_0_3_2_0_0_548.RDa",3,1,0
"450","article_0_3_2_0_0_549.RDa",0,4,0
"451","article_0_3_2_0_0_550.RDa",0,4,0
"452","article_0_3_2_0_0_551.RDa",3,1,0
"453","article_0_3_2_0_0_552.RDa",3,1,0
"454","article_0_3_2_0_0_553.RDa",4,0,0
"455","article_0_3_2_0_0_554.RDa",4,0,0
"456","article_0_3_2_0_0_555.RDa",4,0,0
"457","article_0_3_2_0_0_556.RDa",1,3,0
